review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,date,Color,Style,Pattern
R3ED0R4VCG7DP7,B0CXL4FQBK,5.0 out of 5 stars Amazing Speaker for All Needs,Colin,5,"I was in need of a new versatile portable speaker to fit my summer adventures; one that was portable enough to fit in a beach bag and left in my car or to play out in my pool area that packed a punch in sound. After a week of owning this speaker, all in all it has checked every box.TLDR: This speaker, while a tiny bit smaller than what I was expecting, packs amazing sound quality from a trusted brand to easily liven up any outdoor occasion. Their app is great for EQ settings, however the physical ULT button provided great boost to your music by itself to hype up any outdoor event. Waterproofing is great and holds a good charge while being extremely portable with its carrying strap.Packaging:- The speaker arrived in a regular cardboard box. While it was nice to see Sony turn to the newer trend of making packaging as recyclable as possible, I did notice that the pieces holding the speaker were flimsy and could possibly be a concern during delivery. However, mine thankfully arrived in perfect condition. Included inside the box was the speaker itself with the carrying band already attached, a USB A to USB C charging cable, and a very small paper pamphlet. Instructions for the speaker are found through a scanned QR code within this pamphlet which allowed for more information about the speaker to be addressed.Sound Quality:- As to no surprise from this being from Sony, this speaker sounds amazing. It doesn’t get tinny at higher volumes, the dual drivers create amazing bass, and overall it covers all genres with no issue presenting truly enjoyable melodies for all music. At max volume, while the speaker does not get deafening loud if you are outdoors (indoors it possibly will depending on what you define as deafening lol), it certain gets loud enough to entertain a large area. In my 40 foot by 120 foot patio, this speaker shined and was the center piece of great sound quality and entertainment. While it certain suits my needs for loudness, you can always take it a notch up by either using the ULT button or pairing it with a second ULT Field 1 and working them in stereo (both discussed in features).Features:- This speaker is packed with all of the expected features of a modern Bluetooth speaker. It quickly connects to remembered devices when powered on (one nice little note: to power on/off this device, only a single press of the power button is needed for each. While a small detail, it truly is something that is appreciated for ease of use) and has a great battery life. While I cannot speak for the full I’ve gone 6 hours of using the speaker which left it at 50%, so I believe their claim of 12 hours of battery life to be true. This speaker also has a quick charger feature of 10 mins of charging for 3 hours of playback. I haven’t tested that myself as of yet, but I have other newer Song products with similar fast charging features and their claims for those products have not fallen short, so I believe these ones as well.- There is also a Bluetooth pairing button, a multiple use button that can play/pause tracks, skip/reverse tracks, and answer/hang up phone calls depending on need. Functionality was clearly a forethought of this speaker, since this button’s commands—while certainly vast—are greatly designed. Play/pause is a single press, skip is a double press, reverse is a triple press, and it converts to a call answer/hang up button with a single press functionality when you receive a call. There are also independent volume up/down buttons which increase the volume by a decent percentage in each press.- Then there is the ULT button, which is a built in EQ adjustment presented as a physical button on the speaker. It comes with default settings when pressed that noticeably enhance the all around sound quality of any melody, with an emphasis on bass and treble. The EQ for the ULT button can be adjusted in the Sony Music Center app. It’s a great feature to use when you want to give that extra boost to your music.- While I have not tried it myself, this speaker also has the ability to be set in stereo with a second ULT speaker, and I’m sure the dual speaker combination could easily work as a stereo set up for any venue needs.- The waterproofing of this speaker is on par with expectations. I’ve taken it to many water-based areas and have gotten it splashed with water and it’s been completely fine. The USB C charging port is covered with a water tight seal that you can open and close easily.- This speaker works with Sony’s music center app, and while it’s a bit rougher than their headphone app, it still works wonderfully to optimize the speaker’s functionality and performance. Full EQ settings are available, along with specific battery percentage, updates, and settings for the speaker.- The included carrying strap is a nice touch that, I will admit I did not initially think I was going to like, however it very quickly grew on me and I find myself carrying the speaker solely by the strap anywhere I take it. It is tied onto the speaker and can be removed, however you will have to re-tie it yourself if you want to reattach it.Build Quality:- Once again, as expected from this price point and the Song brand, this is truly a high quality speaker. It feels great to hold, with the fabric being sturdy and made of soft material. The buttons are covered in strong rubber that give a satisfying response when pushed. The carrying strap is thick and made of a high quality and very slightly elastic material. You are certainly getting your money’s worth on quality alone, which is what I expect from the Song brand.Final Thoughts:- While it is certainly understandable to hesitant when looking at a $120 Bluetooth speaker, this one truly is worth its value. I have very little complaints with this speaker, and think that it’s a great edition to anyone’s outdoor entertainment experience. The ULT button is a feature I find myself using more than expected (in a good way) to help boost my music during gatherings to help the entertainment. With its waterproofing, I feel comfortable using it as a travel speaker to any destination I plan on visiting. This feature packed speaker is truly one of a kind, and I’m certainly satisfied with my purchase.","Reviewed in the United States June 24, 2024",AHWLZPJ4HLRGSDCGXHCEWVVOGX4Q,True,17,Color: Off White,2024-06-24,Off White,not listed,not listed
R7FS5ZX9N85YV,B0CXL4FQBK,5.0 out of 5 stars Concert Ready! Nice For the Price,Melly Mel3,5,Color is as pictured. So pretty and vibrant.Charge- stays charged. Deep clean and shower lasted all daySound quality: clear. Good for what I use it for. Just loud enough. Bass is not hitting hard like I would like.Easy to connect. Easy to carry. Fits in bathroom counter easily which is important for my shower concerts. lol,"Reviewed in the United States August 3, 2024",AEQS3DLWRAFDJBBHMWTKH46UBBDQ,True,0,Color: Orange,2024-08-03,Orange,not listed,not listed
R3MI1MH02YEDHK,B0CXL4FQBK,5.0 out of 5 stars Things I wish I knew before I bought this.,Pat,5,"The media could not be loaded. So, yes 5 stars, and I mean that. To cut to the chase, this is an excellent speaker, and you should get one!Now, I usually do not post reviews, but I thought if you knew all this, it would help you understand why I gave it 5 stars and recommend it so highly!SOUNDIt sounds way bigger than it looks. The ULT button adds a lot of bass and I love that! It is great for EDM, Hip hop, R&B, 80s, 90s,... I tried basically everything I could, and it all sounded great. Even added a little more depth to a classical cello playlist I listen to while I am working.If you like a less bass-heavy sound, just turn the ULT feature off, and it will sound excellent. If that does not suit you, there is a 3-band EQ in the app.OH, and it sounds just as good standing up as it does lying down!!APPAs mentioned, there is an EQ in there!! You can also change other settings and even see the battery life, which I could not believe was still 60% after a couple of days of me casually using it! Super surprised because I never charged it when I got it!Oh, I also noticed the ""group with other speakers,"" and apparently, you can pair another one of these and get stereo sound out of them.... I have not tried that, but I will as soon as I get my second one!STRAPThis was one I was really unsure about when looking at it online. The strap is genius! It can tighten or loosen and then stay in place. My little one liked to carry it around like a purse, but it is really versatile, and I found I could hang it one way or another everywhere I went.DESIGNAgain the design is great, it is very stable standing up or lying down. The buttons are easy to use and because they are raised, you can use them without even looking at them.The SONY logo on the front looks silver most of the time but actually has some... I don't know what, but it changes color, which is a nice touch. See pics.Love the Forest Grey color, it is exactly as expected. A subtle green/grey that I have gotten a lot more comments on than I ever though I would.LIFE/KID-PROOF!Ok, so I like music in the shower, and let me tell you... this thing delivers, even when it got wet it still sounded clear. I did not need to have it at full volume either.Of course, my girls heard it, and when it was bath time, they wanted to have it with them. That is when I discovered it could float!! Now it does not sound great that way, but it still played even after multiple ""accidental"" dunks in the tub! They also loved to see what they could put on the woofer part, and see it dance and fall out.Lastly it is stink proof, as well as mud, sand and waterproof... My daughters and I clean the pond behind our house, usually after big storms, and pick up plastic and other garbage we find. My 6 yo, who likes to hold the speaker as a purse, thought it would be a great idea to bring ""Ultra"" (that is what they named it) with us while we did so. As expected, it dropped into the stinky pond muck when a dragonfly landed on it, and she screamed and tossed it like a live grenade...after fishing it out, I rinsed it off with some dawn and the water hose and it was good as new.To say this has held up remarkably well is an understatement. It looks great, sounds great, and I would recommend it to anyone looking for a portable speaker. Hope this review helps!!!","Reviewed in the United States May 20, 2024",AGCVXRAC7KRNWUCTJSFA2D44CDNA,True,51,Color: Forest Gray,2024-05-20,Forest Gray,not listed,not listed
R26O4F9FKNIYVG,B0CXL4FQBK,4.0 out of 5 stars Easy to pair.,Joseph C,4,Not a Bose flex link. But good for the price. ULT setting is a bit muffled. Base is good. Voice highs are a little low in the ULT settling. Updated itself upon starting program. Does include an equalizer program. Not a stereo unit.,"Reviewed in the United States July 6, 2024",AEWWQRYIV3XHR6HRM6YALMVX6DPQ,True,2,Color: Black,2024-07-06,Black,not listed,not listed
R1SSV73W8JIH5E,B0CXL4FQBK,5.0 out of 5 stars Didn't expect the sound quality coming out of this bad boy,Mike Freeman,5,"After trying out Sony Wireless Speaker, I have to say, my family and I were impressed. My teenage son has always been a hard sell on design. He was sold. The shiny Sony logo caught his attention immediately.I was surprise on the sound quality. This is me speaking from comparing to a different Sony speaker I've owned in the past (xb23 is the model number, I think).The ""cool factors"" for me were: 1. push the ULT button to enhance the bass and clear highs that really bring out the music while hanging out in the backyard. 2. Strap - It allows me to hang the speaker on the patio umbrella and out of the way of things (see pic). 3. Setting it up was a breeze. Wifey opened up the box, push the power button, paired the bluetooth, all on her own. Lastly, what really stood out to me was how well-built this speaker is. It feels sturdy and durable, but it's lightweight enough to take with me wherever I go. Plus, the sleek design looks great.Haven't had it long enough to noticed any ""cons"" about this speaker. If I were to say something, I'd say price. I purchased the speaker at regular price because I needed a second unit for our backyard. I'd like to wait for the first sale to purchase 1 or 2 more for my family members with Mother's Day and Graduation around the corner.","Reviewed in the United States May 10, 2024",AFKMNV7MVRWKIXFNFEJOIYWBOUSA,True,13,Color: Off White,2024-05-10,Off White,not listed,not listed
R1CMFWUKND8EM,B0CXL4FQBK,"5.0 out of 5 stars Big sound, little package!!!",Mike,5,"This little speaker surprised me. This “ULT” button packs a punch, but not in the way you would think. Most of my past speakers with a boost button basically increased bass. It’s fine if that’s all you want, but the equalization isn’t there. The bass over-powers the voice or the other instruments. This ULT button gives you more bass - check , and the other sounds also get enhanced. It’s pretty remarkable. The strap is cool. I can hang it from the table umbrella in my back yard. Porting the side speakers was smart. You can use it horizontal like normal or when you stand it vertically, the bottom speaker isn’t fully covered. The air can go somewhere. I think Sony has a winner here. This is definitely coming pool side and beach side on our next trip to FLA. I got the white color. Looks good. I’m glad I picked this one. It’s definitely a keeper.Oh, all the other good stuff. Easy to connect to iPhone. 12 hour battery is very good for me and small for its power. Also works as a speaker phone and all the proofs. Beach proof and clumsy (me) proof.","Reviewed in the United States May 17, 2024",AHB6M2A23E4MMUH2H364AK7MX5IA,True,12,Color: Off White,2024-05-17,Off White,not listed,not listed
R2SOQ8N1C3X1JM,B0CXL4FQBK,5.0 out of 5 stars Did JBL just lose?,Itryditm8,5,"The ULT field 1 is an incredible compact speaker. My Go-to was always the JBL flip series, as i right now own the flip 6.Design: The utility here is great, it has a carry strap that doubles as a hanger, or a handle!, the build is very rugged and high quality, i would not baby this thing at all, it handles its own!Sound & Performance: Out of the box the speaker comes with ULT on, and WOAH!, it gets very loud for its size!. This speaker connects to sony’s music center app, where you can customize the eq, connect in stereo to another field 1, and many other settings!. The sound is very open, clear on vocals ,it fills up a big room really well and maps the sound out. A really great sounding speaker. Battery life is really good,it varies how you use it, but real world use ( 50-80% volume, ULT on) its good for 8-10 hours straight. It does take a while to charge, about 5 hours if its completely drained. But thats good for the overall life of the battery.Compared to JBL flip 6: Ive been back forth between these two for the past couple days. And i found myself reaching for the field 1! It sounds better, its more open, it sounds like the music fills up any room, as for the JBL, it targets the sound directly at you, and the highs are a bit harsh, sony simply just outperforms it!Value: at retail ($128). I would buy this speaker no question. Its great and performs as well as speakers above its weight class.On sale : $98, i would buy it IMMEDIATELY:), insane value.","Reviewed in the United States May 27, 2024",AGNZEIEKV6LTFUK2YDPG7DPE6SHQ,True,3,Color: Off White,2024-05-27,Off White,not listed,not listed
RD4HR2I5R3X5R,B0CXL4FQBK,3.0 out of 5 stars Not very loud in certain circumstances,Chrissy0418,3,"This is a nice sounding wireless speaker. My issue is that it only turns up a little with my phone and tablet. If I'm listening to a talk and the person has a quiet voice, I can't hear clearly. Even with the device turned all the way up and the speaker itself turned all the way up. Music sounds great from this speaker. I do like the cord the speaker has on top so it can be hung. I don't think it was worth the price I paid for it. Maybe $50, but $99 I would expect better. So far the battery life has been excellent and it was easy to set up the Bluetooth. The size is perfect as well. It also works great recieving and answering calls.","Reviewed in the United States July 3, 2024",AEMERIUKJVKXEQ7EFZZKZWYUZJ4Q,True,5,Color: Black,2024-07-03,Black,not listed,not listed
R1P2OVKCR03MLZ,B0CXL4FQBK,5.0 out of 5 stars New Sony drop is perfect for budget audiophiles,BB,5,"If you're on the fence, get this! I was looking for a new speaker to replace my old UE Boom that had a static tick in it (love UE, but every speaker I've had goes this route eventually).This new portable Sony speaker didn't have the thousands of reviews that more expensive (or cheaper and well-known but risker) speakers had. However, every review was positive and they were right (so far). Though I've only had this about a month, it's been a massive improvement in my home and away music setup. The sound is gorgeous. The bass is clear and deep. I'm sure audiophiles can find a $1000 speaker that will be tuned to perfection, but for music fans without those funds (and who need a trusty travel speaker) this is the one.The forest green/grey looks cool and shows off how well-made it is.Only potential con so far is that it takes a while to shut off by itself. I don't have the Sony app so maybe this is a setting you can change. It's by no means a problem, unless you are banking on it shutting itself off. The connection lasts even if your music app closes which is nice.The rope handle also makes it so you can't just slam it down; it has to be the right orientation. It's tied loosely though, so you could untie it for more position flexibility, you'd just have a longer string to carry it.I am very particular and this speaker checked all my boxes! 10/10 recommend.","Reviewed in the United States July 20, 2024",AFBXJGYWY3QZXF2IZTRJYOW3UO7A,True,0,Color: Forest Gray,2024-07-20,Forest Gray,not listed,not listed
RJFBE7W2A9HWL,B0CXL4FQBK,5.0 out of 5 stars Surprisingly Great!,Fabian,5,"What I was looking for was a compact bluetooth speaker that packs a punch in bass, so I decided to give this Sony speaker a try and boy was I surprised by it! 1. Bluetooth pairing - First, pairing this was super easy. I happen to have an Android phone and once bluetooth is on, it automatically pops up on my phone and asks if I want to pair it.2. Design - for a compact size speaker, it is really lightweight and because the speaker is shaped the way it is, it can easily stand up by itself or laid out sideways. The tether that comes with it can easily be strapped on to my backpack or a bicycle.3. Bass - The sound varies depending on the position of the speaker, but the bass is surprisingly good! The secret here is the ""ult"" button. Once you press that, it really amps up the bass while not sacrificing the clarity of the vocals. What I thought was cool was the companion app that you can use to control the speaker in which you can also customize the sound through the equalizer. I am not too picky when it comes to sound, but the opportunity to customize it will be super flexible for those who like their own sound.4. Sound Quality and Distance - This to me was the main reason why I am giving it 5 stars. The sound quality has really good range from the low tones to the high tones. I like to listen to the variety of different styles of music and I am very impressed of the sound reproduction of this speaker. Usually, I am not too far away from the speaker, but there had been times where I had to go downstairs to do something and what's nice is that the speaker had really good range for a bluetooth speaker. The sound never cut out once. As a bonus, what I discovered in the app, was an option to either turn on sound quality performance or focus on a stable connection and I think that will allow some people to really enjoy their music even from a far away distance.5. Price - $128 is still a lot of money, but for this amount of money and what I am getting from this speaker. I say it is well worth it because I can take this literally anywhere outside or inside. There have been a couple of times when my phone was paired to the speaker and somebody called in and I had a conversation with them not knowing I can actually talk to them from the speaker! So yes, if you can afford this speaker, I say give this a try! You won't be disappointed!","Reviewed in the United States May 15, 2024",AGCP3WP3ZNQM7W7TXE7ADU62LOXQ,True,15,Color: Black,2024-05-15,Black,not listed,not listed
